id;nombre_cientifico;categoria;grupo;clasificacion_FAO;cultivo;origen_et;origen;vulnerabilidad_et;vulnerabilidad;imp_economica_org;seg_alimentaria_org;incertidumbre;incertidumbre_et;imp_economica;pool_imp_economica;seg_alimentaria;pool_imp_sa;int_banco;int_banco_et
134;Cyclanthera pedata;BGV List;Hortalizas;Vegetables and melons;Cucurbitaceas;Local;70;NotEvaluated;0;30;8;90;Alta;30;No;57.5;GP;69.12;Medio
136;Dillenia indica;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;Threatened;75;8;8;90;Alta;8;No;8;No;15;Bajo
137;Dioscorea esculenta;BGV List;Tuberculos;Root/tuber crops with high starch or inulin conten;Ñame;Distant;20;MinorConcern;35;57.49;50;30;Baja;57.49;No;50;No;29.11;Bajo
138;Dioscorea trifida;BGV List;Tuberculos;Root/tuber crops with high starch or inulin conten;Ñame;Local;70;MinorConcern;35;30;30;90;Alta;30;No;30;No;15;Bajo
139;Diospyros discolor;BGV List;Otros permanentes;Other crops;Frutales menores;Distant;20;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
142;Elaeis guineensis;BGV List;Oleaginosas;Oilseed crops;Palma africana;Local;70;MinorConcern;35;70;8;90;Alta;70;No;8;No;55;Medio
143;Elaeis oleifera;BGV List;Oleaginosas;Oilseed crops;Palma americana;Local;70;Threatened;75;30;8;90;Alta;30;No;8;No;55;Medio
144;Eriobotrya japonica;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;MinorConcern;35;8;30;90;Alta;8;No;30;No;15;Bajo
146;Syzygium malaccense;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
147;Eugenia stipitata;BGV List;Frutales;Fruits and nuts;Frutales amazónicos;Local;70;NotEvaluated;0;8;57.5;60;Media;8;No;57.5;No;69.12;Medio
148;Eugenia uniflora L.;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;NotEvaluated;0;8;8;90;Alta;8;No;8;No;55;Medio
149;Euterpe catinga;BGV List;Frutales;Fruits and nuts;Frutales amazónicos;Local;70;MinorConcern;35;30;37.5;60;Media;30;No;37.5;No;29.12;Bajo
150;Euterpe oleracea;BGV List;Frutales;Fruits and nuts;Frutales amazónicos;Local;70;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
151;Euterpe precatoria;BGV List;Oleaginosas;Oilseed crops;Frutales amazónicos;Local;70;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
152;Ficus carica;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;MinorConcern;35;50;33.92;90;Alta;50;No;33.92;No;24.34;Bajo
153;Flacourtia indica;BGV List;Otros permanentes;Other crops;Frutales menores;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
157;Garcinia dulcis;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
158;Garcinia macrophylla;BGV List;Otros permanentes;Other crops;Frutales menores;Local;70;NotEvaluated;0;8;8;90;Alta;8;No;8;No;55;Medio
159;Garcinia madrunno;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;NotEvaluated;0;8;57.5;60;Media;8;No;57.5;No;69.12;Medio
160;Garcinia mangostana;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
161;Genipa americana;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;Threatened;75;8;8;90;Alta;8;No;8;No;55;Medio
162;Glycine max;BGV List;Leguminosas;Leguminous crops;Soya;Distant;20;Threatened;75;50;37.5;60;Media;50;No;37.5;No;29.12;Bajo
163;Gossypium arboreum;BGV List;Fibras;Other crops;Algodón;Distant;20;Threatened;75;8;8;90;Alta;70;GP;8;No;15;Bajo
164;Gossypium barbadense;BGV List;Fibras;Other crops;Algodón;Local;70;NotEvaluated;0;8;8;90;Alta;70;GP;8;No;55;Medio
165;Gossypium hirsutum;BGV List;Fibras;Other crops;Algodón;Close;45;Threatened;75;70;8;90;Alta;70;No;8;No;55;Medio
166;Gustavia superba;BGV List;Otros permanentes;Other crops;Frutales menores;Local;70;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
167;Gynerium sagittatum;BGV List;Fibras;Other crops;Caña flecha;Local;70;MinorConcern;35;34.63;8;90;Alta;34.63;No;8;No;25.31;Bajo
168;Hibiscus elatus;BGV List;Otros permanentes;Other crops;Forestal;Close;45;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
169;Hordeum vulgare;BGV List;Cereales;Cereals;Cebada;Distant;20;MinorConcern;35;39.71;30;60;Media;39.71;No;30;No;26.19;Bajo
170;Hymenaea courbaril;BGV List;Frutales;Fruits and nuts;Frutales menores;Close;45;MinorConcern;35;30;37.5;60;Media;30;No;37.5;No;29.12;Bajo
171;Inga spectabilis;BGV List;Leguminosas;Leguminous crops;Frutales menores;Local;70;MinorConcern;35;30;8;90;Alta;30;No;8;No;15;Bajo
172;Ipomoea batatas;BGV List;Tuberculos;Root/tuber crops with high starch or inulin conten;Batata;Close;45;NotEvaluated;0;73.5;70;30;Baja;73.5;No;70;No;63.74;Medio
173;Lecythis minor;BGV List;Otros permanentes;Other crops;Frutales menores;Local;70;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
174;Litchi chinensis;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;MinorConcern;35;8;8;90;Alta;8;No;8;No;15;Bajo
176;Lupinus mutabilis;BGV List;Leguminosas;Leguminous crops;Lupinos;Local;70;NotEvaluated;0;8;8;90;Alta;8;No;8;No;55;Medio
177;Macadamia integrifolia;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;Threatened ;75;30;8;90;Alta;30;No;8;No;15;Bajo
178;Macadamia tetraphylla;BGV List;Frutales;Fruits and nuts;Frutales menores;Distant;20;Threatened ;75;30;8;90;Alta;30;No;8;No;15;Bajo
179;Malpighia glabra;BGV List;Otros permanentes;Other crops;Frutales menores;Close;45;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
180;Malpighia punicifolia;BGV List;Frutales;Fruits and nuts;Frutales menores;Close;45;NotEvaluated;0;8;8;90;Alta;8;No;8;No;15;Bajo
181;Mammea americana;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;MinorConcern;35;30;57.5;60;Media;30;No;57.5;No;29.12;Bajo
182;Mangifera indica;BGV List;Frutales;Fruits and nuts;Mango;Distant;20;NotEvaluated;0;55.5;73.92;10;No;55.5;No;73.92;No;26.46;Bajo
183;Manilkara zapota;BGV List;Frutales;Fruits and nuts;Frutales menores;Close;45;NotEvaluated;0;50;50;90;Alta;50;No;50;No;15;Bajo
184;Melicoccus bijugatus;BGV List;Frutales;Fruits and nuts;Frutales menores;Local;70;NotEvaluated;0;30;8;90;Alta;30;No;8;No;55;Medio
