"id","nombre_cientifico","categoria","grupo","clasificacion_FAO","cultivo","origen_et","origen","vulnerabilidad_et","vulnerabilidad","imp_economica_org","seg_alimentaria_org","incertidumbre","incertidumbre_et","imp_economica","pool_imp_economica","seg_alimentaria","pool_imp_sa"
47,"Arracacia xanthorrhiza","BGV List","Tuberculos","Root/tuber crops with high starch or inulin conten","Arracacha","Local",70,"NotEvaluated",0,"55.96","50",90,"Alta","55.96","No","50","No"
48,"Artocarpus altilis","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"30","57.5",10,"No","30","No","57.5","No"
49,"Malus domestica","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Distant",20,"MinorConcern",35,"36.39","50",90,"Alta","36.39","No","50","No"
50,"Artocarpus heterophyllus","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","57.5",30,"Baja","8","No","57.5","No"
51,"Spinacia oleracea","EVA's (MADR) List","Hortalizas","Vegetables and melons",NA,"Distant",20,"NotEvaluated",0,"70","77.5",60,"Media","70","No","77.5","No"
52,"Avena sativa","BGV List","Cereales","Cereals","Avena","Distant",20,"MinorConcern",35,"36.18","35.96",60,"Media","36.18","No","35.96","No"
53,"Ullucus tuberosus","EVA's (MADR) List","Tuberculos","Root/tuber crops with high starch or inulin conten",NA,"Local",70,"NotEvaluated",0,"30","50",10,"No","30","No","50","No"
54,"Averrhoa carambola","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"NotEvaluated",0,"8","37.5",90,"Alta","8","No","37.5","No"
55,"Helianthus annuus","EVA's (MADR) List","Oleaginosas","Oilseed crops",NA,"Distant",20,"MinorConcern",35,"33.5","37.5",60,"Media","33.5","No","37.5","No"
56,"Bactris gasipaes","BGV List","Frutales","Fruits and nuts","Chontaduro","Local",70,"Threatened ",75,"50","50",90,"Alta","50","No","50","No"
57,"Passiflora quadrangularis","EVA's (MADR) List","Frutales","Fruits and nuts",NA,"Local",70,"MinorConcern",35,"53.28","57.5",60,"Media","53.28","No","57.5","No"
59,"Medicago sativa","EVA's (MADR) List","Leguminosas","Leguminous crops",NA,"Distant",20,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
60,"Bixa orellana","BGV List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops","Frutales amazónicos","Local",70,"NotEvaluated",0,"50","57.5",90,"Alta","50","No","57.5","No"
61,"Blighia sapida","BGV List","Frutales","Fruits and nuts","Frutales menores","Distant",20,"MinorConcern",35,"8","37.5",60,"Media","8","No","37.5","No"
62,"Petroselinum crispum","EVA's (MADR) List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops",NA,"Distant",20,"MinorConcern",35,"55.93","57.5",90,"Alta","55.93","No","57.5","No"
63,"Alibertia patinoi","BGV List","Frutales","Fruits and nuts","Frutales menores","Local",70,"NotEvaluated",0,"30","57.5",60,"Media","30","No","57.5","No"
64,"Eryngium foetidum","EVA's (MADR) List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops",NA,"Local",70,"MinorConcern",35,"30","8",90,"Alta","30","No","8","No"
65,"Cajanus cajan","BGV List","Leguminosas","Leguminous crops","Guandul","Distant",20,"NotEvaluated",0,"40.35","53.92",90,"Alta","40.35","No","53.92","No"
66,"Piper nigrum","EVA's (MADR) List","Plantas aromaticas condimentarias y medicinales","Beverage and spice crops",NA,"Distant",20,"MinorConcern",35,"8","57.5",30,"Baja","8","No","57.5","No"
